Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,355
design__inferred_latch__count,0
design__instance__count,129874
design__instance__area,7.81422E+6
design__instance_unmapped__count,0
synthesis__check_error__count,410
design__max_slew_violation__count__corner:nom_tt_025C_5v00,106
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,65
design__max_cap_violation__count__corner:nom_tt_025C_5v00,22
power__internal__total,0.009997581131756306
power__switching__total,0.007942925207316875
power__leakage__total,0.000010001827831729315
power__total,0.01795050874352455
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.0
timing__hold__ws__corner:nom_tt_025C_5v00,1.0000000433293989E+39
timing__setup__ws__corner:nom_tt_025C_5v00,1.0000000433293989E+39
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,2470
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,65
design__max_cap_violation__count__corner:nom_ss_125C_4v50,22
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.0
timing__hold__ws__corner:nom_ss_125C_4v50,1.0000000433293989E+39
timing__setup__ws__corner:nom_ss_125C_4v50,1.0000000433293989E+39
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,19
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,65
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,21
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.0
timing__hold__ws__corner:nom_ff_n40C_5v50,1.0000000433293989E+39
timing__setup__ws__corner:nom_ff_n40C_5v50,1.0000000433293989E+39
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,3464
design__max_fanout_violation__count,65
design__max_cap_violation__count,43
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2935.0 2935.0
design__core__bbox,442.4 442.96 2492.56 2489.2
design__io,85
design__die__area,8.61422E+6
design__core__area,4.19512E+6
design__instance__count__stdcell,46948
design__instance__area__stdcell,1.05983E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,406
design__instance__area__padcells,3.115E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.252634
design__instance__utilization__stdcell,0.252634
design__rows,522
design__rows:GF018hv5v_mcu_sc7,522
design__sites,1911042
design__sites:GF018hv5v_mcu_sc7,1911042
design__instance__count__class:input_pad,3
design__instance__area__class:input_pad,78750
design__instance__count__class:input_output_pad,80
design__instance__area__class:input_output_pad,2.1E+6
design__instance__count__class:power_pad,8
design__instance__area__class:power_pad,210000
design__instance__count__class:tie_cell,132
design__instance__area__class:tie_cell,1159.07
design__instance__count__class:inverter,1241
design__instance__area__class:inverter,10910.1
design__instance__count__class:sequential_cell,1215
design__instance__area__class:sequential_cell,86765.3
design__instance__count__class:multi_input_combinational_cell,14254
design__instance__area__class:multi_input_combinational_cell,266899
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,11
flow__warnings__count:ORD-2011,6
flow__warnings__count:STA-0366,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,315
design__instance__area__class:pad_spacer,726250
design__instance__count__class:endcap_cell,1048
design__instance__area__class:endcap_cell,508684
design__instance__count__class:tap_cell,27254
design__instance__area__class:tap_cell,119656
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,11.2
design__instance__displacement__mean,0
design__instance__displacement__max,3.92
route__wirelength__estimated,899488
design__violations,0
design__instance__count__class:timing_repair_buffer,1567
design__instance__area__class:timing_repair_buffer,55479.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,159
design__instance__area__class:clock_buffer,9206.67
design__instance__count__class:clock_inverter,47
design__instance__area__class:clock_inverter,935.155
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,59
global_route__wirelength,1440952
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,26
design__instance__count__class:antenna_cell,31
design__instance__area__class:antenna_cell,136.102
route__net,18558
route__net__special,85
route__drc_errors__iter:0,20
route__wirelength__iter:0,997977
route__drc_errors__iter:1,1
route__wirelength__iter:1,997967
route__drc_errors__iter:2,0
route__wirelength__iter:2,997967
route__drc_errors__iter:3,0
route__wirelength__iter:3,997956
route__drc_errors__iter:4,4
route__wirelength__iter:4,997971
route__drc_errors__iter:5,3
route__wirelength__iter:5,997974
